['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
1032,KRT->UST,0.256631738845809,0.17267233153088482,2721001,2263.8425332248003,10002721001,19997736.157466777,0,0.256631738845809
1099,KRT->UST,0.03861775880261281,0.1587949730048546,1055401,878.1429076982494,10001055401,19999121.857092302,0,0.2952494976484218
1804,KRT->UST,0.0002784981719221909,0.1507468822803975,89601,74.5552199892629,10000089601,19999925.44478001,0,0.295527995820344
1805,KRT->UST,0.014330147361769222,0.15535755083390865,642901,534.9328560199922,10000642901,19999465.06714398,0,0.30985814318211324
2113,KRT->UST,0.09860868726169505,0.1640539555231457,1686601,1403.293817394401,10001686601,19998596.706182607,0,0.40846683044380827
2114,UST->KRT,130.55730710562136,-0.17286871076333943,953.0000000000008,1141753.8418353735,9999544847.158165,20000953.0,130.55730710562136,0.40846683044380827
2815,KRT->UST,1.7032370738464133,0.2084088437839962,7011101,5832.113999386886,10007011101,19994167.886000615,130.55730710562136,2.1117039042902217
2816,KRT->UST,1.0073785907427442,0.1949229374433446,5391201,4484.91937947155,10011402302,19992682.966621142,130.55730710562136,3.119082495032966
2884,UST->KRT,23.561126617530007,-0.15971525052477867,404.80000000000035,485007.7648683975,9999514992.235132,20000404.8,154.11843372315138,3.119082495032966
2906,KRT->UST,0.015375130536726128,0.15554945557688882,666001,554.1529312144581,10000666001,19999445.847068787,154.11843372315138,3.134457625569692
2928,KRT->UST,0.05541755466577485,0.1605357306669113,1264401,1052.0314909143124,10001264401,19998947.968509085,154.11843372315138,3.189875180235467
3040,KRT->UST,0.3214325160948087,0.17537382314933206,3045201,2533.53905178269,10003045201,19997466.460948218,154.11843372315138,3.5113076963302756
3102,KRT->UST,0.002324720521119645,0.15215787532274655,258901,215.42487968733602,10000258901,19999784.57512031,154.11843372315138,3.513632416851395
3123,KRT->UST,0.0030043587919308177,0.1524531091194762,294401,244.96315601091547,10000294401,19999755.03684399,154.11843372315138,3.5166367756433257
4953,UST->KRT,15.577066698468322,-0.157899485698818,329.2000000000003,394431.834956302,9999605568.165043,20000329.2,169.6955004216197,3.5166367756433257
6676,KRT->UST,2.1153256486092085,0.2150923104499096,7813601,6499.447981720827,10007813601,19993500.552018277,169.6955004216197,5.631962424252534
6704,KRT->UST,0.7313225719587463,0.18827326519633394,4593701,3821.6094692145234,10004593701,19996178.390530784,169.6955004216197,6.363284996211281
9429,UST->KRT,1414.4919268283872,-0.22527596305474207,3137.700000000003,3758174.970372621,9996241825.029627,20003137.7,1584.187427250007,6.363284996211281
10228,KRT->UST,1.0186636639755835,0.19517066085694365,5421701,4510.286616707823,10005421701,19995489.71338329,1584.187427250007,7.381948660186865
11281,KRT->UST,0.042451313629538835,0.15922118096624513,1106601,920.7417310655186,10001106601,19999079.258268934,1584.187427250007,7.424399973816404
11282,KRT->UST,3.3749335545468933,0.23221928786086712,9870401,8209.6147499726,10009977002,19991790.38525003,1584.187427250007,10.799333528363297
11675,UST->KRT,21.898423709176733,-0.159366177943721,390.30000000000035,467635.5249183919,9999532364.475082,20000390.3,1606.0858509591837,10.799333528363297
11863,UST->KRT,0.0225562949028441,-0.1503006012023924,12.50000000000001,14977.477500033763,9999985022.5225,20000012.5,1606.1084072540866,10.799333528363297
11864,UST->KRT,47.74536221358585,-0.16382998088649808,576.3000000000005,690474.8377838338,9999309525.162216,20000576.3,1653.8537694676725,10.799333528363297
11865,UST->KRT,2501.3587869668845,-0.2501023145832386,4173.000000000004,4997582.249304178,9995002417.750696,20004173.0,4155.212556434557,10.799333528363297
11950,KRT->UST,0.36827917994494286,0.17715998909785094,3259601,2711.8907919505964,10003259601,19997288.10920805,4155.212556434557,11.16761270830824
13054,UST->KRT,7.727052087103015,-0.1555636896046894,231.8000000000002,277735.022916655,9999722264.977083,20000231.8,4162.93960852166,11.16761270830824
13094,UST->KRT,466.8441386711879,-0.19324560596301982,1802.3000000000015,2159048.208060133,9997840951.79194,20001802.3,4629.783747192849,11.16761270830824
13125,UST->KRT,9.352169236122636,-0.15612085590963773,255.00000000000023,305531.6366865176,9999694468.363314,20000255.0,4639.1359164289715,11.16761270830824
13164,KRT->UST,0.4298695667168979,0.1793433275085115,3521701,2929.9181321421543,10003521701,19997070.08186786,4639.1359164289715,11.597482275025138
13165,UST->KRT,5813.329460095124,-0.3025857326242394,6364.200000000005,7619757.921013578,9994901943.078987,20006364.2,10452.465376524095,11.597482275025138
13166,UST->KRT,451.6706573232209,-0.19254572961079505,1772.4000000000017,2123237.2289604573,9993778705.850027,20005136.599999998,10904.136033847315,11.597482275025138
13167,UST->KRT,1377.2339346502556,-0.22429735420672392,3095.300000000003,3707408.605043988,9991071297.244984,20005231.9,12281.36996849757,11.597482275025138
13168,UST->KRT,446.83136105566837,-0.19232530451507795,1762.5000000000016,2111379.917288718,9989959917.327696,20003994.4,12728.20132955324,11.597482275025138
13170,UST->KRT,0.2752455056475217,-0.15105048748110622,43.70000000000004,52361.06478480798,9991907556.26291,20000043.7,12728.476575058887,11.597482275025138
13171,UST->KRT,910.6399585657281,-0.21042038333104202,2516.5000000000023,3014358.0092524826,9989893198.253658,20002516.5,13639.116533624614,11.597482275025138
13180,UST->KRT,0.09265694305871885,-0.15060928300852208,25.40000000000002,30434.18708695959,9998862764.066572,20000025.4,13639.209190567673,11.597482275025138
13237,KRT->UST,0.0006181656576647327,0.15111273926182467,133501,111.08333824937975,10000133501,19999888.91666175,13639.209190567673,11.598100440682803
